date,time,discharge_cfs_for_model_comparison,flow_status
10SEP2018,00:00,21.6,observed_hourly_mean
10SEP2018,01:00,21.6,observed_hourly_mean
10SEP2018,02:00,21.3,observed_hourly_mean
10SEP2018,03:00,21.3,observed_hourly_mean
10SEP2018,04:00,21.3,observed_hourly_mean
10SEP2018,05:00,21.3,observed_hourly_mean
10SEP2018,06:00,21.3,observed_hourly_mean
10SEP2018,07:00,21.6,observed_hourly_mean
10SEP2018,08:00,22.35,observed_hourly_mean
10SEP2018,09:00,23.85,observed_hourly_mean
10SEP2018,10:00,25.3,observed_hourly_mean
10SEP2018,11:00,26.9,observed_hourly_mean
10SEP2018,12:00,28.3,observed_hourly_mean
10SEP2018,13:00,29.0,observed_hourly_mean
10SEP2018,14:00,29.275,observed_hourly_mean
10SEP2018,15:00,28.825,observed_hourly_mean
10SEP2018,16:00,28.925,observed_hourly_mean
10SEP2018,17:00,36.05,observed_hourly_mean
10SEP2018,18:00,53.4,observed_hourly_mean
10SEP2018,19:00,67.825,observed_hourly_mean
10SEP2018,20:00,75.975,observed_hourly_mean
10SEP2018,21:00,79.625,observed_hourly_mean
10SEP2018,22:00,81.80000000000001,observed_hourly_mean
10SEP2018,23:00,82.6,observed_hourly_mean
11SEP2018,00:00,82.6,observed_hourly_mean
11SEP2018,01:00,82.8,observed_hourly_mean
11SEP2018,02:00,82.6,observed_hourly_mean
11SEP2018,03:00,81.80000000000001,observed_hourly_mean
11SEP2018,04:00,81.2,observed_hourly_mean
11SEP2018,05:00,80.39999999999999,observed_hourly_mean
11SEP2018,06:00,79.44999999999999,observed_hourly_mean
11SEP2018,07:00,78.89999999999999,observed_hourly_mean
11SEP2018,08:00,78.1,observed_hourly_mean
11SEP2018,09:00,77.5,observed_hourly_mean
11SEP2018,10:00,76.7,observed_hourly_mean
11SEP2018,11:00,76.35,observed_hourly_mean
11SEP2018,12:00,76.175,observed_hourly_mean
11SEP2018,13:00,75.8,observed_hourly_mean
11SEP2018,14:00,74.85,observed_hourly_mean
11SEP2018,15:00,74.3,observed_hourly_mean
