time_local,hourly_mean_discharge_cfs,flow_status,discharge_cfs_for_model_comparison
2018-09-10 00:00:00-04:00,21.6,observed_hourly_mean,21.6
2018-09-10 01:00:00-04:00,21.6,observed_hourly_mean,21.6
2018-09-10 02:00:00-04:00,21.3,observed_hourly_mean,21.3
2018-09-10 03:00:00-04:00,21.3,observed_hourly_mean,21.3
2018-09-10 04:00:00-04:00,21.3,observed_hourly_mean,21.3
2018-09-10 05:00:00-04:00,21.3,observed_hourly_mean,21.3
2018-09-10 06:00:00-04:00,21.3,observed_hourly_mean,21.3
2018-09-10 07:00:00-04:00,21.6,observed_hourly_mean,21.6
2018-09-10 08:00:00-04:00,22.35,observed_hourly_mean,22.35
2018-09-10 09:00:00-04:00,23.85,observed_hourly_mean,23.85
2018-09-10 10:00:00-04:00,25.3,observed_hourly_mean,25.3
2018-09-10 11:00:00-04:00,26.9,observed_hourly_mean,26.9
2018-09-10 12:00:00-04:00,28.3,observed_hourly_mean,28.3
2018-09-10 13:00:00-04:00,29.0,observed_hourly_mean,29.0
2018-09-10 14:00:00-04:00,29.275,observed_hourly_mean,29.275
2018-09-10 15:00:00-04:00,28.825,observed_hourly_mean,28.825
2018-09-10 16:00:00-04:00,28.925,observed_hourly_mean,28.925
2018-09-10 17:00:00-04:00,36.05,observed_hourly_mean,36.05
2018-09-10 18:00:00-04:00,53.4,observed_hourly_mean,53.4
2018-09-10 19:00:00-04:00,67.825,observed_hourly_mean,67.825
2018-09-10 20:00:00-04:00,75.975,observed_hourly_mean,75.975
2018-09-10 21:00:00-04:00,79.625,observed_hourly_mean,79.625
2018-09-10 22:00:00-04:00,81.80000000000001,observed_hourly_mean,81.80000000000001
2018-09-10 23:00:00-04:00,82.6,observed_hourly_mean,82.6
2018-09-11 00:00:00-04:00,82.6,observed_hourly_mean,82.6
2018-09-11 01:00:00-04:00,82.8,observed_hourly_mean,82.8
2018-09-11 02:00:00-04:00,82.6,observed_hourly_mean,82.6
2018-09-11 03:00:00-04:00,81.80000000000001,observed_hourly_mean,81.80000000000001
2018-09-11 04:00:00-04:00,81.2,observed_hourly_mean,81.2
2018-09-11 05:00:00-04:00,80.39999999999999,observed_hourly_mean,80.39999999999999
2018-09-11 06:00:00-04:00,79.44999999999999,observed_hourly_mean,79.44999999999999
2018-09-11 07:00:00-04:00,78.89999999999999,observed_hourly_mean,78.89999999999999
2018-09-11 08:00:00-04:00,78.1,observed_hourly_mean,78.1
2018-09-11 09:00:00-04:00,77.5,observed_hourly_mean,77.5
2018-09-11 10:00:00-04:00,76.7,observed_hourly_mean,76.7
2018-09-11 11:00:00-04:00,76.35,observed_hourly_mean,76.35
2018-09-11 12:00:00-04:00,76.175,observed_hourly_mean,76.175
2018-09-11 13:00:00-04:00,75.8,observed_hourly_mean,75.8
2018-09-11 14:00:00-04:00,74.85,observed_hourly_mean,74.85
2018-09-11 15:00:00-04:00,74.3,observed_hourly_mean,74.3
2018-09-11 16:00:00-04:00,75.975,observed_hourly_mean,75.975
2018-09-11 17:00:00-04:00,81.625,observed_hourly_mean,81.625
2018-09-11 18:00:00-04:00,89.275,observed_hourly_mean,89.275
2018-09-11 19:00:00-04:00,97.225,observed_hourly_mean,97.225
2018-09-11 20:00:00-04:00,99.85,observed_hourly_mean,99.85
2018-09-11 21:00:00-04:00,96.975,observed_hourly_mean,96.975
2018-09-11 22:00:00-04:00,92.675,observed_hourly_mean,92.675
2018-09-11 23:00:00-04:00,88.575,observed_hourly_mean,88.575
2018-09-12 00:00:00-04:00,85.325,observed_hourly_mean,85.325
