time_utc,discharge_cfs,unit,approval_status,qualifier,time_local
2018-09-10 04:00:00+00:00,21.6,ft^3/s,Approved,,2018-09-10 00:00:00-04:00
2018-09-10 04:15:00+00:00,21.6,ft^3/s,Approved,,2018-09-10 00:15:00-04:00
2018-09-10 04:30:00+00:00,21.6,ft^3/s,Approved,,2018-09-10 00:30:00-04:00
2018-09-10 04:45:00+00:00,21.6,ft^3/s,Approved,,2018-09-10 00:45:00-04:00
2018-09-10 05:00:00+00:00,21.6,ft^3/s,Approved,,2018-09-10 01:00:00-04:00
2018-09-10 05:15:00+00:00,21.6,ft^3/s,Approved,,2018-09-10 01:15:00-04:00
2018-09-10 05:30:00+00:00,21.6,ft^3/s,Approved,,2018-09-10 01:30:00-04:00
2018-09-10 05:45:00+00:00,21.6,ft^3/s,Approved,,2018-09-10 01:45:00-04:00
2018-09-10 06:00:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 02:00:00-04:00
2018-09-10 06:15:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 02:15:00-04:00
2018-09-10 06:30:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 02:30:00-04:00
2018-09-10 06:45:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 02:45:00-04:00
2018-09-10 07:00:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 03:00:00-04:00
2018-09-10 07:15:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 03:15:00-04:00
2018-09-10 07:30:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 03:30:00-04:00
2018-09-10 07:45:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 03:45:00-04:00
2018-09-10 08:00:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 04:00:00-04:00
2018-09-10 08:15:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 04:15:00-04:00
2018-09-10 08:30:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 04:30:00-04:00
2018-09-10 08:45:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 04:45:00-04:00
2018-09-10 09:00:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 05:00:00-04:00
2018-09-10 09:15:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 05:15:00-04:00
2018-09-10 09:30:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 05:30:00-04:00
2018-09-10 09:45:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 05:45:00-04:00
2018-09-10 10:00:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 06:00:00-04:00
2018-09-10 10:15:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 06:15:00-04:00
2018-09-10 10:30:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 06:30:00-04:00
2018-09-10 10:45:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 06:45:00-04:00
2018-09-10 11:00:00+00:00,21.3,ft^3/s,Approved,,2018-09-10 07:00:00-04:00
2018-09-10 11:15:00+00:00,21.6,ft^3/s,Approved,,2018-09-10 07:15:00-04:00
2018-09-10 11:30:00+00:00,21.6,ft^3/s,Approved,,2018-09-10 07:30:00-04:00
2018-09-10 11:45:00+00:00,21.9,ft^3/s,Approved,,2018-09-10 07:45:00-04:00
2018-09-10 12:00:00+00:00,21.9,ft^3/s,Approved,,2018-09-10 08:00:00-04:00
2018-09-10 12:15:00+00:00,22.2,ft^3/s,Approved,,2018-09-10 08:15:00-04:00
2018-09-10 12:30:00+00:00,22.5,ft^3/s,Approved,,2018-09-10 08:30:00-04:00
2018-09-10 12:45:00+00:00,22.8,ft^3/s,Approved,,2018-09-10 08:45:00-04:00
2018-09-10 13:00:00+00:00,23.1,ft^3/s,Approved,,2018-09-10 09:00:00-04:00
2018-09-10 13:15:00+00:00,23.8,ft^3/s,Approved,,2018-09-10 09:15:00-04:00
