time_local,hourly_mean_discharge_cfs,hourly_max_discharge_cfs,observation_count_in_hour,hour_has_observed_discharge
2018-09-10 00:00:00-04:00,21.6,21.6,4,True
2018-09-10 01:00:00-04:00,21.6,21.6,4,True
2018-09-10 02:00:00-04:00,21.3,21.3,4,True
2018-09-10 03:00:00-04:00,21.3,21.3,4,True
2018-09-10 04:00:00-04:00,21.3,21.3,4,True
2018-09-10 05:00:00-04:00,21.3,21.3,4,True
2018-09-10 06:00:00-04:00,21.3,21.3,4,True
2018-09-10 07:00:00-04:00,21.6,21.9,4,True
2018-09-10 08:00:00-04:00,22.35,22.8,4,True
2018-09-10 09:00:00-04:00,23.85,24.4,4,True
2018-09-10 10:00:00-04:00,25.3,26.0,4,True
2018-09-10 11:00:00-04:00,26.9,27.4,4,True
2018-09-10 12:00:00-04:00,28.3,28.8,4,True
2018-09-10 13:00:00-04:00,29.0,29.2,4,True
2018-09-10 14:00:00-04:00,29.275,29.5,4,True
2018-09-10 15:00:00-04:00,28.825,29.2,4,True
2018-09-10 16:00:00-04:00,28.925,29.9,4,True
2018-09-10 17:00:00-04:00,36.05,41.5,4,True
2018-09-10 18:00:00-04:00,53.4,59.9,4,True
2018-09-10 19:00:00-04:00,67.825,71.6,4,True
2018-09-10 20:00:00-04:00,75.975,78.3,4,True
2018-09-10 21:00:00-04:00,79.625,80.6,4,True
2018-09-10 22:00:00-04:00,81.80000000000001,82.2,4,True
2018-09-10 23:00:00-04:00,82.6,83.0,4,True
2018-09-11 00:00:00-04:00,82.6,83.0,4,True
2018-09-11 01:00:00-04:00,82.8,83.0,4,True
2018-09-11 02:00:00-04:00,82.6,83.0,4,True
2018-09-11 03:00:00-04:00,81.80000000000001,82.2,4,True
2018-09-11 04:00:00-04:00,81.2,81.4,4,True
2018-09-11 05:00:00-04:00,80.39999999999999,80.6,4,True
2018-09-11 06:00:00-04:00,79.44999999999999,79.8,4,True
2018-09-11 07:00:00-04:00,78.89999999999999,79.1,4,True
2018-09-11 08:00:00-04:00,78.1,78.3,4,True
