basin_mean_precip_inches,date,daily_mean_discharge_cfs,unit,approval_status,qualifier
0.16903922091832124,2018-09-10,40.0,ft^3/s,Approved,
0.13395524372682185,2018-09-11,82.7,ft^3/s,Approved,
0.00011636483873195891,2018-09-12,71.7,ft^3/s,Approved,
0.5398549570622435,2018-09-13,59.3,ft^3/s,Approved,
8.048291571325894,2018-09-14,1210.0,ft^3/s,Approved,
1.6916722286515562,2018-09-15,5100.0,ft^3/s,Approved,
1.0020170411637828,2018-09-16,2960.0,ft^3/s,Approved,
2.851169528271663,2018-09-17,2010.0,ft^3/s,Approved,
0.0012412246382128742,2018-09-18,2870.0,ft^3/s,Approved,
0.0,2018-09-19,1370.0,ft^3/s,Approved,
0.0,2018-09-20,685.0,ft^3/s,Approved,
0.0,2018-09-21,260.0,ft^3/s,Approved,
0.0,2018-09-22,151.0,ft^3/s,Approved,
0.0,2018-09-23,121.0,ft^3/s,Approved,
0.03684884429759409,2018-09-24,102.0,ft^3/s,Approved,
0.2782281604963048,2018-09-25,101.0,ft^3/s,Approved,
7.75766208069101e-05,2018-09-26,118.0,ft^3/s,Approved,
0.09997673102362162,2018-09-27,93.6,ft^3/s,Approved,
0.1551142387072751,2018-09-28,91.5,ft^3/s,Approved,
0.0,2018-09-29,76.5,ft^3/s,Approved,
0.0,2018-09-30,64.1,ft^3/s,Approved,
0.0,2018-10-01,55.9,ft^3/s,Approved,
0.0,2018-10-02,52.0,ft^3/s,Approved,
0.0,2018-10-03,48.7,ft^3/s,Approved,
0.0,2018-10-04,45.2,ft^3/s,Approved,
0.0,2018-10-05,42.0,ft^3/s,Approved,
0.0,2018-10-06,39.4,ft^3/s,Approved,
0.0,2018-10-07,38.5,ft^3/s,Approved,
0.004460650471367378,2018-10-08,36.4,ft^3/s,Approved,
0.11136108727253723,2018-10-09,35.5,ft^3/s,Approved,
0.0057988450995224376,2018-10-10,44.8,ft^3/s,Approved,
