date,daily_mean_discharge_cfs,unit,approval_status,qualifier,statistic_id
2018-09-10,39.3,ft^3/s,Approved,,00003
2018-09-11,39.9,ft^3/s,Approved,,00003
2018-09-12,43.3,ft^3/s,Approved,,00003
2018-09-13,47.1,ft^3/s,Approved,,00003
2018-09-14,854.0,ft^3/s,Approved,,00003
2018-09-15,32000.0,ft^3/s,Approved,['ESTIMATED'],00003
2018-09-16,63500.0,ft^3/s,Approved,['ESTIMATED'],00003
2018-09-17,45200.0,ft^3/s,Approved,['ESTIMATED'],00003
2018-09-18,28100.0,ft^3/s,Approved,['ESTIMATED'],00003
2018-09-19,11800.0,ft^3/s,Approved,['ESTIMATED'],00003
2018-09-20,3540.0,ft^3/s,Approved,['ESTIMATED'],00003
2018-09-21,2110.0,ft^3/s,Approved,,00003
2018-09-22,1320.0,ft^3/s,Approved,,00003
2018-09-23,839.0,ft^3/s,Approved,,00003
2018-09-24,598.0,ft^3/s,Approved,,00003
2018-09-25,478.0,ft^3/s,Approved,,00003
2018-09-26,412.0,ft^3/s,Approved,,00003
2018-09-27,369.0,ft^3/s,Approved,,00003
2018-09-28,327.0,ft^3/s,Approved,,00003
2018-09-29,290.0,ft^3/s,Approved,,00003
2018-09-30,266.0,ft^3/s,Approved,,00003
2018-10-01,238.0,ft^3/s,Approved,,00003
2018-10-02,204.0,ft^3/s,Approved,,00003
2018-10-03,173.0,ft^3/s,Approved,,00003
2018-10-04,148.0,ft^3/s,Approved,,00003
2018-10-05,128.0,ft^3/s,Approved,,00003
2018-10-06,112.0,ft^3/s,Approved,,00003
2018-10-07,99.8,ft^3/s,Approved,,00003
2018-10-08,89.5,ft^3/s,Approved,,00003
2018-10-09,80.9,ft^3/s,Approved,,00003
2018-10-10,73.5,ft^3/s,Approved,,00003
