site_number,site_name,time_local,discharge_cfs
02092500,"Trent River near Trenton, NC",2018-09-10 00:00:00-04:00,40.5
02092500,"Trent River near Trenton, NC",2018-09-10 01:00:00-04:00,40.2
02092500,"Trent River near Trenton, NC",2018-09-10 02:00:00-04:00,39.900000000000006
02092500,"Trent River near Trenton, NC",2018-09-10 03:00:00-04:00,39.7
02092500,"Trent River near Trenton, NC",2018-09-10 04:00:00-04:00,39.3
02092500,"Trent River near Trenton, NC",2018-09-10 05:00:00-04:00,39.3
02092500,"Trent River near Trenton, NC",2018-09-10 06:00:00-04:00,39.3
02092500,"Trent River near Trenton, NC",2018-09-10 07:00:00-04:00,39.3
02092500,"Trent River near Trenton, NC",2018-09-10 08:00:00-04:00,39.3
02092500,"Trent River near Trenton, NC",2018-09-10 09:00:00-04:00,39.5
02092500,"Trent River near Trenton, NC",2018-09-10 10:00:00-04:00,39.8
02092500,"Trent River near Trenton, NC",2018-09-10 11:00:00-04:00,39.7
02092500,"Trent River near Trenton, NC",2018-09-10 12:00:00-04:00,39.5
02092500,"Trent River near Trenton, NC",2018-09-10 13:00:00-04:00,39.6
02092500,"Trent River near Trenton, NC",2018-09-10 14:00:00-04:00,39.199999999999996
02092500,"Trent River near Trenton, NC",2018-09-10 15:00:00-04:00,39.3
02092500,"Trent River near Trenton, NC",2018-09-10 16:00:00-04:00,38.9
02092500,"Trent River near Trenton, NC",2018-09-10 17:00:00-04:00,38.9
02092500,"Trent River near Trenton, NC",2018-09-10 18:00:00-04:00,39.0
02092500,"Trent River near Trenton, NC",2018-09-10 19:00:00-04:00,38.9
02092500,"Trent River near Trenton, NC",2018-09-10 20:00:00-04:00,38.9
02092500,"Trent River near Trenton, NC",2018-09-10 21:00:00-04:00,38.9
02092500,"Trent River near Trenton, NC",2018-09-10 22:00:00-04:00,38.8
02092500,"Trent River near Trenton, NC",2018-09-10 23:00:00-04:00,38.6
02092500,"Trent River near Trenton, NC",2018-09-11 00:00:00-04:00,38.7
02092500,"Trent River near Trenton, NC",2018-09-11 01:00:00-04:00,38.8
02092500,"Trent River near Trenton, NC",2018-09-11 02:00:00-04:00,38.7
02092500,"Trent River near Trenton, NC",2018-09-11 03:00:00-04:00,38.6
02092500,"Trent River near Trenton, NC",2018-09-11 04:00:00-04:00,38.5
02092500,"Trent River near Trenton, NC",2018-09-11 05:00:00-04:00,38.5
02092500,"Trent River near Trenton, NC",2018-09-11 06:00:00-04:00,38.5
02092500,"Trent River near Trenton, NC",2018-09-11 07:00:00-04:00,38.8
02092500,"Trent River near Trenton, NC",2018-09-11 08:00:00-04:00,38.7
02092500,"Trent River near Trenton, NC",2018-09-11 09:00:00-04:00,38.425
02092500,"Trent River near Trenton, NC",2018-09-11 10:00:00-04:00,38.6
02092500,"Trent River near Trenton, NC",2018-09-11 11:00:00-04:00,38.8
02092500,"Trent River near Trenton, NC",2018-09-11 12:00:00-04:00,38.7
02092500,"Trent River near Trenton, NC",2018-09-11 13:00:00-04:00,38.9
02092500,"Trent River near Trenton, NC",2018-09-11 14:00:00-04:00,39.3
02092500,"Trent River near Trenton, NC",2018-09-11 15:00:00-04:00,39.6
02092500,"Trent River near Trenton, NC",2018-09-11 16:00:00-04:00,39.800000000000004
02092500,"Trent River near Trenton, NC",2018-09-11 17:00:00-04:00,40.3
02092500,"Trent River near Trenton, NC",2018-09-11 18:00:00-04:00,40.8
02092500,"Trent River near Trenton, NC",2018-09-11 19:00:00-04:00,41.6
02092500,"Trent River near Trenton, NC",2018-09-11 20:00:00-04:00,41.7
02092500,"Trent River near Trenton, NC",2018-09-11 21:00:00-04:00,42.075
02092500,"Trent River near Trenton, NC",2018-09-11 22:00:00-04:00,42.5
02092500,"Trent River near Trenton, NC",2018-09-11 23:00:00-04:00,42.8
02092500,"Trent River near Trenton, NC",2018-09-12 00:00:00-04:00,42.6
02092500,"Trent River near Trenton, NC",2018-09-12 01:00:00-04:00,42.6
02092500,"Trent River near Trenton, NC",2018-09-12 02:00:00-04:00,42.6
