time_local,discharge_cfs_observed,discharge_cfs_for_screening,flow_value_status
2018-09-10 00:00:00-04:00,40.5,40.5,observed
2018-09-10 01:00:00-04:00,40.2,40.2,observed
2018-09-10 02:00:00-04:00,39.900000000000006,39.900000000000006,observed
2018-09-10 03:00:00-04:00,39.7,39.7,observed
2018-09-10 04:00:00-04:00,39.3,39.3,observed
2018-09-10 05:00:00-04:00,39.3,39.3,observed
2018-09-10 06:00:00-04:00,39.3,39.3,observed
2018-09-10 07:00:00-04:00,39.3,39.3,observed
2018-09-10 08:00:00-04:00,39.3,39.3,observed
2018-09-10 09:00:00-04:00,39.5,39.5,observed
2018-09-10 10:00:00-04:00,39.8,39.8,observed
2018-09-10 11:00:00-04:00,39.7,39.7,observed
2018-09-10 12:00:00-04:00,39.5,39.5,observed
2018-09-10 13:00:00-04:00,39.6,39.6,observed
2018-09-10 14:00:00-04:00,39.2,39.2,observed
2018-09-10 15:00:00-04:00,39.3,39.3,observed
2018-09-10 16:00:00-04:00,38.9,38.9,observed
2018-09-10 17:00:00-04:00,38.9,38.9,observed
2018-09-10 18:00:00-04:00,39.0,39.0,observed
2018-09-10 19:00:00-04:00,38.9,38.9,observed
2018-09-10 20:00:00-04:00,38.9,38.9,observed
2018-09-10 21:00:00-04:00,38.9,38.9,observed
2018-09-10 22:00:00-04:00,38.8,38.8,observed
2018-09-10 23:00:00-04:00,38.6,38.6,observed
2018-09-11 00:00:00-04:00,38.7,38.7,observed
2018-09-11 01:00:00-04:00,38.8,38.8,observed
2018-09-11 02:00:00-04:00,38.7,38.7,observed
2018-09-11 03:00:00-04:00,38.6,38.6,observed
2018-09-11 04:00:00-04:00,38.5,38.5,observed
2018-09-11 05:00:00-04:00,38.5,38.5,observed
2018-09-11 06:00:00-04:00,38.5,38.5,observed
2018-09-11 07:00:00-04:00,38.8,38.8,observed
2018-09-11 08:00:00-04:00,38.7,38.7,observed
2018-09-11 09:00:00-04:00,38.425,38.425,observed
2018-09-11 10:00:00-04:00,38.6,38.6,observed
2018-09-11 11:00:00-04:00,38.8,38.8,observed
2018-09-11 12:00:00-04:00,38.7,38.7,observed
2018-09-11 13:00:00-04:00,38.9,38.9,observed
2018-09-11 14:00:00-04:00,39.3,39.3,observed
2018-09-11 15:00:00-04:00,39.6,39.6,observed
2018-09-11 16:00:00-04:00,39.8,39.8,observed
2018-09-11 17:00:00-04:00,40.3,40.3,observed
2018-09-11 18:00:00-04:00,40.8,40.8,observed
2018-09-11 19:00:00-04:00,41.6,41.6,observed
2018-09-11 20:00:00-04:00,41.7,41.7,observed
2018-09-11 21:00:00-04:00,42.075,42.075,observed
2018-09-11 22:00:00-04:00,42.5,42.5,observed
2018-09-11 23:00:00-04:00,42.8,42.8,observed
2018-09-12 00:00:00-04:00,42.6,42.6,observed
2018-09-12 01:00:00-04:00,42.6,42.6,observed
2018-09-12 02:00:00-04:00,42.6,42.6,observed
2018-09-12 03:00:00-04:00,43.1,43.1,observed
2018-09-12 04:00:00-04:00,43.4,43.4,observed
2018-09-12 05:00:00-04:00,43.4,43.4,observed
2018-09-12 06:00:00-04:00,43.4,43.4,observed
2018-09-12 07:00:00-04:00,43.7,43.7,observed
2018-09-12 08:00:00-04:00,43.9,43.9,observed
2018-09-12 09:00:00-04:00,44.1,44.1,observed
2018-09-12 10:00:00-04:00,44.2,44.2,observed
2018-09-12 11:00:00-04:00,44.1,44.1,observed
